iter	Passed	Remaining
402	10862	16091
403	10886	16060
404	10910	16028
405	10935	15999
406	10961	15970
407	10985	15940
408	11011	15911
409	11037	15883
410	11061	15852
411	11085	15821
412	11109	15789
413	11133	15759
414	11157	15728
415	11182	15697
416	11206	15668
417	11230	15637
418	11254	15605
419	11277	15573
420	11302	15543
421	11327	15514
422	11351	15484
423	11375	15454
424	11400	15423
425	11423	15392
426	11449	15364
427	11474	15334
428	11496	15301
429	11520	15271
430	11545	15242
431	11569	15211
432	11592	15180
433	11619	15153
434	11644	15123
435	11668	15094
436	11692	15063
437	11717	15034
438	11741	15004
439	11767	14976
440	11791	14946
441	11816	14917
442	11840	14888
443	11865	14859
444	11891	14830
445	11914	14799
446	11939	14770
447	11962	14739
448	11985	14708
449	12011	14680
450	12036	14652
451	12059	14621
452	12085	14592
453	12110	14564
454	12134	14535
455	12159	14505
456	12184	14477
457	12209	14448
458	12233	14419
459	12259	14391
460	12284	14362
461	12306	14331
462	12328	14299
463	12353	14270
464	12379	14242
465	12404	14214
466	12429	14185
467	12453	14156
468	12478	14128
469	12502	14098
470	12526	14068
471	12551	14040
472	12576	14011
473	12600	13982
474	12623	13952
475	12647	13922
476	12673	13895
477	12697	13866
478	12722	13838
479	12750	13813
480	12775	13784
481	12799	13755
482	12823	13726
483	12847	13697
484	12870	13667
485	12895	13638
486	12918	13608
487	12942	13578
488	12965	13549
489	12991	13521
490	13015	13493
491	13041	13465
492	13067	13439
493	13090	13408
494	13112	13377
495	13136	13348
496	13161	13320
497	13185	13291
498	13209	13262
499	13236	13236
500	13257	13205
501	13282	13176
502	13305	13147
503	13327	13116
504	13353	13088
505	13376	13058
506	13397	13027
507	13423	13000
508	13449	12973
509	13473	12945
510	13498	12917
511	13524	12890
512	13548	12862
513	13570	12831
514	13593	12801
515	13619	12775
516	13644	12747
517	13671	12721
518	13696	12693
519	13720	12665
520	13744	12636
521	13770	12609
522	13795	12582
523	13820	12554
524	13844	12526
525	13870	12499
526	13895	12471
527	13920	12443
528	13945	12416
529	13970	12389
530	13996	12362
531	14022	12335
532	14046	12307
533	14072	12280
534	14098	12253
535	14122	12225
536	14145	12196
537	14170	12168
538	14194	12140
539	14217	12111
540	14241	12082
541	14265	12054
542	14290	12026
543	14313	11998
544	14338	11970
545	14363	11943
546	14388	11915
547	14413	11888
548	14438	11861
549	14464	11834
550	14489	11807
551	14514	11779
552	14536	11749
553	14558	11720
554	14580	11690
555	14603	11661
556	14628	11634
557	14650	11604
558	14672	11575
559	14697	11547
560	14722	11520
561	14746	11493
562	14771	11465
563	14795	11437
564	14818	11409
565	14843	11381
566	14867	11354
567	14893	11327
568	14917	11299
569	14940	11271
570	14967	11245
571	14991	11217
572	15015	11189
573	15038	11161
574	15063	11133
575	15087	11106
576	15112	11079
577	15134	11049
578	15158	11022
579	15184	10995
580	15208	10968
581	15233	10941
582	15258	10914
583	15282	10886
584	15307	10859
585	15351	10845
586	15376	10818
587	15399	10790
588	15423	10762
589	15447	10734
590	15473	10708
591	15499	10682
592	15524	10655
593	15549	10628
594	15573	10600
595	15597	10573
596	15619	10543
597	15641	10514
598	15665	10487
599	15689	10459
600	15712	10431
601	15739	10405
602	15763	10378
603	15788	10351
604	15812	10323
605	15836	10296
606	15859	10268
607	15883	10240
608	15907	10212
609	15932	10186
610	15956	10159
611	15978	10130
612	16001	10102
613	16024	10074
