iter	Logloss
0	0.5972963568
1	0.5114191954
2	0.451745153
3	0.3987740918
4	0.3498924486
5	0.3152730777
6	0.2829503997
7	0.2556283268
8	0.230135721
9	0.2137195523
10	0.1992624074
11	0.1832441506
12	0.1719028086
13	0.1612239877
14	0.152548775
15	0.1454554414
16	0.1391757789
17	0.1338675071
18	0.1286256555
19	0.1239182565
20	0.1203047395
21	0.1165141991
22	0.1133785767
23	0.1110885022
24	0.1084647588
25	0.1058774971
26	0.1036570534
27	0.1014863499
28	0.0995400231
29	0.09781507526
30	0.09617353641
31	0.09470855318
32	0.09314935065
33	0.09177053571
34	0.09056934124
35	0.089324941
36	0.08748959157
37	0.08582820558
38	0.08479553417
39	0.08379871692
40	0.08285608746
41	0.08156937361
42	0.08090648187
43	0.08012687478
44	0.07784039729
45	0.07647338029
46	0.07563627984
47	0.07493773692
48	0.07444178669
49	0.07364431626
50	0.07172956689
51	0.07107936007
52	0.07046152809
53	0.06998661312
54	0.06845399857
55	0.06767681909
56	0.06673655662
57	0.06612705857
58	0.0656558961
59	0.06526721978
60	0.0650421272
61	0.06439980199
62	0.06404032432
63	0.06358847924
64	0.06301998047
65	0.06268651991
66	0.06245991596
67	0.06131379792
68	0.06084885645
69	0.06035005432
70	0.05982687417
71	0.05940555774
72	0.05862482717
73	0.05820544064
74	0.05781693258
75	0.05750626561
76	0.05660400818
77	0.05599579278
78	0.05549753045
79	0.05530861759
80	0.05496673951
81	0.05461517782
82	0.05426945855
83	0.05344714721
84	0.05294777356
85	0.05262216826
86	0.05229730054
87	0.05165297119
88	0.05135592084
89	0.05103064247
90	0.05057386082
91	0.05040448988
92	0.05005663603
93	0.04984578832
94	0.04950712786
95	0.04927989727
96	0.04904400777
97	0.04858254531
98	0.04820526997
99	0.04807721965
100	0.04783280335
101	0.04767317821
102	0.04742864212
103	0.04714312544
104	0.04676262881
105	0.04665721425
106	0.0462916621
107	0.04587580554
108	0.04571037737
109	0.04552099788
110	0.04533281555
111	0.04519518834
112	0.04496926174
113	0.04471754042
114	0.0443519591
115	0.04390375971
116	0.04373620298
117	0.04347496111
118	0.04326196855
119	0.0429234869
120	0.04273144143
121	0.04250623927
122	0.04232387743
123	0.04212561012
124	0.04196133185
125	0.04179147853
126	0.04152921061
127	0.0412951774
128	0.04117630441
129	0.04108852939
130	0.04095858992
131	0.04082853814
132	0.04069866743
133	0.0403570704
134	0.04004722655
135	0.03977721446
136	0.03954322458
137	0.03926338286
138	0.03895853579
139	0.03844373182
140	0.03821731964
141	0.03811421852
142	0.0379575155
143	0.03773448018
144	0.03761621788
145	0.03725785726
146	0.03713188165
147	0.03698524209
148	0.03670252324
149	0.03661483733
150	0.03654452664
151	0.03633366277
152	0.03620456882
153	0.03609511639
154	0.0359627945
155	0.03582043265
156	0.03564607907
157	0.03559257282
158	0.0355450663
159	0.03545737012
160	0.03522140411
161	0.03503212595
162	0.03484358896
163	0.0347783557
164	0.03473768614
165	0.03465860591
166	0.0344510756
167	0.03425422741
168	0.03406408882
169	0.03397388096
170	0.0337541649
171	0.03351064941
172	0.03334383292
173	0.03326499016
174	0.03304319724
175	0.03296328676
176	0.03261378783
177	0.03253889946
178	0.03239425715
179	0.03218569749
180	0.03198433724
181	0.03188403582
182	0.03178383228
183	0.03165726275
184	0.03160656266
185	0.03153780688
186	0.03148308729
187	0.03115885895
188	0.03110540116
189	0.03095481069
190	0.03076917642
191	0.03062586873
192	0.03052312581
193	0.03037186755
194	0.03023939506
195	0.0301667172
196	0.02998474977
197	0.02993782782
198	0.02982414141
199	0.02972730671
200	0.02967760702
201	0.02947039867
202	0.02926924743
203	0.02915685472
204	0.02905218055
205	0.02882927473
206	0.02876547266
207	0.0286597588
208	0.02846836678
209	0.0282993937
210	0.02825544292
211	0.02812528777
212	0.028061383
213	0.02796375845
214	0.02784811992
215	0.02770948303
216	0.02752228343
217	0.02748168016
218	0.02732967265
219	0.02725299856
220	0.02710317758
221	0.02705139905
222	0.02696527108
223	0.02690069543
224	0.02679228622
225	0.02674900113
226	0.02654942333
227	0.02642992301
228	0.0263839156
229	0.02619452721
230	0.0260324952
231	0.02596474816
232	0.02585982748
233	0.02573178694
234	0.02560567665
235	0.02556508743
236	0.02542266439
237	0.0253344133
238	0.02516078194
239	0.0250298185
240	0.02493427129
241	0.02481790668
242	0.0247090514
243	0.02455001808
244	0.02446584696
245	0.02436802446
246	0.02427970881
247	0.02417053437
248	0.02406427306
249	0.02395962778
250	0.02391537914
251	0.02388278416
252	0.02375580536
253	0.02370501284
254	0.02360656934
255	0.02347758555
256	0.02340529049
257	0.02334257222
258	0.02323857557
259	0.02315741181
260	0.02292316169
261	0.02285904052
262	0.02285147478
263	0.02279611445
264	0.02274095276
265	0.02269444961
266	0.02261821339
267	0.02254893512
268	0.02243518446
269	0.02238957692
270	0.02228423053
271	0.02219356651
272	0.02211295077
273	0.02204760587
274	0.02193744222
275	0.0218598638
276	0.02174877143
277	0.02169063524
278	0.02162077598
279	0.02161458879
280	0.0215887423
281	0.02147887143
282	0.02142097153
283	0.02132785784
284	0.02126823944
285	0.02123632493
286	0.0211688356
287	0.02109175208
288	0.02105266889
289	0.02090542086
290	0.02086676337
291	0.02081478453
292	0.02076938243
293	0.02071745366
294	0.02067065875
295	0.02059091279
296	0.02051421044
297	0.02045970412
298	0.02044921683
299	0.0204292589
300	0.02029579058
301	0.02024550863
302	0.0202053124
303	0.02014744145
304	0.02002701995
305	0.01994964797
306	0.0198806194
307	0.01982584431
308	0.01976378402
309	0.01970944507
310	0.01968184367
311	0.01961769866
312	0.01959774186
313	0.01951566972
314	0.01942017601
315	0.01930822405
316	0.01929213778
317	0.01919436918
318	0.01915744951
319	0.01907703333
320	0.01898858146
321	0.01895726898
322	0.0189007757
323	0.01883173862
324	0.01874841123
325	0.01867549867
326	0.01865961309
327	0.0186163172
328	0.01854511652
329	0.01840152786
330	0.01832380555
331	0.01830725329
332	0.01824678251
333	0.01814542199
334	0.01808948736
335	0.01803875233
336	0.01799292268
337	0.01794966069
338	0.01788378613
339	0.01777189169
340	0.01771541002
341	0.01756018266
342	0.01749802616
343	0.01748145766
344	0.01745043884
345	0.01739805874
346	0.01733165653
347	0.01731432298
348	0.01726492875
349	0.01722875636
350	0.01719993226
351	0.01716178877
352	0.01708962341
353	0.01704255752
354	0.01697734224
355	0.01689323302
356	0.01687804955
357	0.01682150598
358	0.0167790277
359	0.01675358798
360	0.01668066218
361	0.01666332734
362	0.01661442922
